mode,resolution,tile_size,image_idx,run_idx,elapsed_seconds,status
sharp_anime_x4,1920,256,1,0,15.738882303237915,ok
sharp_anime_x4,1920,256,1,1,15.705274820327759,ok
sharp_anime_x4,1920,256,1,2,15.700133085250854,ok
sharp_anime_x4,1920,512,0,0,12.515888690948486,ok
sharp_anime_x4,1920,512,0,1,12.482731342315674,ok
sharp_anime_x4,1920,512,0,2,12.514340162277222,ok
sharp_anime_x4,1920,512,1,0,4.762310743331909,ok
sharp_anime_x4,1920,512,1,1,4.766877889633179,ok
sharp_anime_x4,1920,512,1,2,4.769609451293945,ok
general_x4plus,512,128,0,0,4.353809595108032,ok
general_x4plus,512,128,0,1,4.382338762283325,ok
general_x4plus,512,128,0,2,4.40588903427124,ok
general_x4plus,512,128,1,0,4.32813024520874,ok
general_x4plus,512,128,1,1,4.325715065002441,ok
general_x4plus,512,128,1,2,4.332622051239014,ok
general_x4plus,512,256,0,0,3.838937282562256,ok
general_x4plus,512,256,0,1,3.7792489528656006,ok
general_x4plus,512,256,0,2,3.8143396377563477,ok
general_x4plus,512,256,1,0,3.798401355743408,ok
general_x4plus,512,256,1,1,3.7825100421905518,ok
general_x4plus,512,256,1,2,3.7998406887054443,ok
general_x4plus,512,512,0,0,3.534886360168457,ok
general_x4plus,512,512,0,1,3.503279209136963,ok
general_x4plus,512,512,0,2,3.5304622650146484,ok
general_x4plus,512,512,1,0,3.6140482425689697,ok
general_x4plus,512,512,1,1,3.6078429222106934,ok
general_x4plus,512,512,1,2,3.6279420852661133,ok
general_x4plus,1024,128,0,0,15.283252239227295,ok
general_x4plus,1024,128,0,1,15.332243919372559,ok
general_x4plus,1024,128,0,2,15.298964262008667,ok
general_x4plus,1024,128,1,0,15.482914686203003,ok
general_x4plus,1024,128,1,1,15.402600288391113,ok
general_x4plus,1024,128,1,2,15.431431770324707,ok
general_x4plus,1024,256,0,0,12.925761461257935,ok
general_x4plus,1024,256,0,1,12.88144302368164,ok
general_x4plus,1024,256,0,2,12.873278141021729,ok
general_x4plus,1024,256,1,0,12.945678472518921,ok
general_x4plus,1024,256,1,1,12.966061353683472,ok
general_x4plus,1024,256,1,2,12.931335926055908,ok
general_x4plus,1024,512,0,0,11.899218320846558,ok
general_x4plus,1024,512,0,1,11.955660581588745,ok
general_x4plus,1024,512,0,2,12.020272254943848,ok
general_x4plus,1024,512,1,0,12.035006046295166,ok
general_x4plus,1024,512,1,1,11.978468418121338,ok
general_x4plus,1024,512,1,2,12.111974477767944,ok
general_x4plus,1920,128,0,0,51.82186794281006,ok
general_x4plus,1920,128,0,1,51.920552253723145,ok
general_x4plus,1920,128,0,2,51.91344380378723,ok
general_x4plus,1920,128,1,0,52.069520711898804,ok
general_x4plus,1920,128,1,1,52.16185688972473,ok
general_x4plus,1920,128,1,2,51.99042630195618,ok
general_x4plus,1920,256,0,0,44.20721650123596,ok
general_x4plus,1920,256,0,1,44.195356369018555,ok
general_x4plus,1920,256,0,2,44.29185914993286,ok
general_x4plus,1920,256,1,0,44.21829652786255,ok
general_x4plus,1920,256,1,1,44.25069737434387,ok
general_x4plus,1920,256,1,2,44.10782074928284,ok
general_x4plus,1920,512,0,0,39.34771227836609,ok
general_x4plus,1920,512,0,1,39.43690037727356,ok
general_x4plus,1920,512,0,2,39.307894468307495,ok
general_x4plus,1920,512,1,0,14.633105516433716,ok
general_x4plus,1920,512,1,1,14.59811520576477,ok
general_x4plus,1920,512,1,2,14.601128339767456,ok
auto_vehicle_x4,512,128,0,0,4.401560068130493,ok
auto_vehicle_x4,512,128,0,1,4.406475305557251,ok
auto_vehicle_x4,512,128,0,2,4.393917798995972,ok
auto_vehicle_x4,512,128,1,0,4.357935905456543,ok
auto_vehicle_x4,512,128,1,1,4.326098680496216,ok
auto_vehicle_x4,512,128,1,2,4.339128255844116,ok
auto_vehicle_x4,512,256,0,0,3.890730381011963,ok
auto_vehicle_x4,512,256,0,1,3.8313517570495605,ok
auto_vehicle_x4,512,256,0,2,3.85190749168396,ok
auto_vehicle_x4,512,256,1,0,3.83609938621521,ok
auto_vehicle_x4,512,256,1,1,3.8071680068969727,ok
auto_vehicle_x4,512,256,1,2,3.8365020751953125,ok
