image_id,method,scale,psnr,ssim,lpips,elapsed_seconds,status
jxie_flickr8k_5488,fast_x2,2,22.214403675127773,0.6339536367075163,0.14601466059684753,0.5131492614746094,ok
jxie_flickr8k_2497,bicubic_4x,4,23.252932462599137,0.7401243205965077,0.3366967439651489,0.002142667770385742,ok
jxie_flickr8k_2497,general_x4plus,4,23.754742917342192,0.7399771840739565,0.17289158701896667,0.5123658180236816,ok
jxie_flickr8k_2497,sharp_anime_x4,4,22.938849753630382,0.7301775017265965,0.20910310745239258,0.15502190589904785,ok
jxie_flickr8k_2497,auto_vehicle_x4,4,23.754742917342192,0.7399771840739565,0.17289158701896667,0.5116045475006104,ok
jxie_flickr8k_2497,bicubic_2x,2,29.33751878806995,0.9180206851528533,0.10412843525409698,0.0027687549591064453,ok
jxie_flickr8k_2497,fast_x2,2,27.55106388788308,0.8441833840821311,0.09171162545681,0.5137650966644287,ok
jxie_flickr8k_5467,bicubic_4x,4,31.919115911254792,0.9379927950709109,0.13989773392677307,0.002226591110229492,ok
jxie_flickr8k_5467,general_x4plus,4,29.03238558887132,0.9021273040115511,0.1114232987165451,0.5124492645263672,ok
jxie_flickr8k_5467,sharp_anime_x4,4,26.5667432410396,0.8793524347452676,0.17426319420337677,0.14891457557678223,ok
jxie_flickr8k_5467,auto_vehicle_x4,4,29.03238558887132,0.9021273040115511,0.1114232987165451,0.5134503841400146,ok
jxie_flickr8k_5467,bicubic_2x,2,39.82114561882012,0.9837794055253887,0.030684711411595345,0.002755880355834961,ok
jxie_flickr8k_5467,fast_x2,2,32.55952074125069,0.9445005660537337,0.06333911418914795,0.5139346122741699,ok
jxie_flickr8k_2089,bicubic_4x,4,26.818075016365675,0.7885738785672106,0.32478073239326477,0.0022258758544921875,ok
jxie_flickr8k_2089,general_x4plus,4,26.523966736126873,0.7567414339754001,0.1937011331319809,0.5133705139160156,ok
jxie_flickr8k_2089,sharp_anime_x4,4,25.27950536780051,0.7399620819561535,0.24881146848201752,0.14939403533935547,ok
jxie_flickr8k_2089,auto_vehicle_x4,4,26.523966736126873,0.7567414339754001,0.1937011331319809,0.5132896900177002,ok
jxie_flickr8k_2089,bicubic_2x,2,32.27868423059705,0.9363525296957974,0.08619608730077744,0.0027391910552978516,ok
jxie_flickr8k_2089,fast_x2,2,29.70510304661323,0.8601911948448889,0.07970678806304932,0.5133302211761475,ok
jxie_flickr8k_1841,bicubic_4x,4,22.779886100791977,0.6825894932082628,0.428327351808548,0.002226114273071289,ok
jxie_flickr8k_1841,general_x4plus,4,21.66857371187308,0.6683705950209268,0.19295968115329742,0.510735034942627,ok
jxie_flickr8k_1841,sharp_anime_x4,4,21.25207636842205,0.6363256991140013,0.2793872654438019,0.14917445182800293,ok
jxie_flickr8k_1841,auto_vehicle_x4,4,21.66857371187308,0.6683705950209268,0.19295968115329742,0.5126681327819824,ok
jxie_flickr8k_1841,bicubic_2x,2,27.385601711302417,0.892507160452913,0.14435799419879913,0.002790689468383789,ok
jxie_flickr8k_1841,fast_x2,2,24.934392027472544,0.8118427532564679,0.10746780037879944,0.5114734172821045,ok
jxie_flickr8k_5195,bicubic_4x,4,25.2026653366637,0.8175899386848368,0.26518383622169495,0.002226114273071289,ok
jxie_flickr8k_5195,general_x4plus,4,24.696956051927607,0.7879721994633822,0.14532622694969177,0.5110888481140137,ok
jxie_flickr8k_5195,sharp_anime_x4,4,23.301351398902955,0.7514341520624255,0.18737906217575073,0.14876985549926758,ok
jxie_flickr8k_5195,auto_vehicle_x4,4,24.696956051927607,0.7879721994633822,0.14532622694969177,0.5115518569946289,ok
jxie_flickr8k_5195,bicubic_2x,2,31.67065549049495,0.9543519381714459,0.06203535944223404,0.002794981002807617,ok
jxie_flickr8k_5195,fast_x2,2,28.236818496747617,0.8779273401445661,0.07690247893333435,0.5119545459747314,ok
jxie_flickr8k_5527,bicubic_4x,4,22.464248022424886,0.7405149250498316,0.35688674449920654,0.002245664596557617,ok
jxie_flickr8k_5527,general_x4plus,4,21.04824021973142,0.645666757625761,0.2124253213405609,0.5102565288543701,ok
jxie_flickr8k_5527,sharp_anime_x4,4,20.02886061540183,0.550700172729341,0.31618833541870117,0.14916491508483887,ok
jxie_flickr8k_5527,auto_vehicle_x4,4,21.04824021973142,0.645666757625761,0.2124253213405609,0.5113687515258789,ok
jxie_flickr8k_5527,bicubic_2x,2,27.26104149596288,0.9271959213972011,0.11685700714588165,0.0027887821197509766,ok
jxie_flickr8k_5527,fast_x2,2,23.74249445507771,0.8215933871291469,0.11845819652080536,0.5120575428009033,ok
